Title,Rating,Votes
Avengers: Endgame,8.6,558276
Gisaengchung,8.5,29523
The Shining,8.4,798352
The Dark Knight,9.0,2099976
The Shawshank Redemption,9.3,2135421
Spider-Man: Into the Spider-Verse,8.4,258181
Inglourious Basterds,8.3,1148946
Pulp Fiction,8.9,1675942
Avengers: Infinity War,8.5,707711
Toy Story 4,8.1,93227
Interstellar,8.6,1329313
The Matrix,8.7,1537873
The Godfather,9.2,1466135
The Wolf of Wall Street,8.2,1057083
Green Book,8.2,240442
The Lord of the Rings: The Fellowship of the Ring,8.8,1534306
Inception,8.8,1872843
Mad Max: Fury Road,8.1,795431
Taxi Driver,8.3,649667
Fight Club,8.8,1707140
The Green Mile,8.6,1037261
Django Unchained,8.4,1236038
Gone Girl,8.1,776043
12 Angry Men,8.9,609087
Gladiator,8.5,1232713
The Lord of the Rings: The Return of the King,8.9,1518668
Forrest Gump,8.8,1643438
The Dark Knight Rises,8.4,1407078
Jurassic Park,8.1,795552
Reservoir Dogs,8.3,844322
Apocalypse Now,8.4,558155
Guardians of the Galaxy,8.1,970629
The Lion King,8.5,861071
American Beauty,8.3,1002017
Kill Bill: Vol. 1,8.1,923628
Goodfellas,8.7,922793
Harry Potter and the Deathly Hallows: Part 2,8.1,702376
Léon,8.5,94426
Blade Runner,8.1,638751
The Silence of the Lambs,8.6,1156552
Back to the Future,8.5,955052
Requiem for a Dream,8.3,710505
Shutter Island,8.1,1024994
Alien,8.4,726277
The Lord of the Rings: The Two Towers,8.7,1373648
The Departed,8.5,1093453
Schindler's List,8.9,1108341
Hacksaw Ridge,8.1,377397
Stand by Me,8.1,338549
Saving Private Ryan,8.6,1131574
