Title,Rating,Votes
Guardians of the Galaxy,8.1,757074
Prometheus,7,485820
Split,7.3,157606
Sing,7.2,60545
Suicide Squad,6.2,393727
The Great Wall,6.1,56036
La La Land,8.3,258682
Mindhorn,6.4,2490
The Lost City of Z,7.1,7188
Passengers,7,192177
Fantastic Beasts and Where to Find Them,7.5,232072
Hidden Figures,7.8,93103
Rogue One,7.9,323118
Moana,7.7,118151
Colossal,6.4,8612
The Secret Life of Pets,6.6,120259
Hacksaw Ridge,8.2,211760
Jason Bourne,6.7,150823
Lion,8.1,102061
Arrival,8,340798
Gold,6.7,19053
Manchester by the Sea,7.9,134213
Hounds of Love,6.7,1115
Trolls,6.5,38552
Independence Day: Resurgence,5.3,127553
Paris pieds nus,6.8,222
Bahubali: The Beginning,8.3,76193
Dead Awake,4.7,523
Bad Moms,6.2,66540
Assassin's Creed,5.9,112813
Why Him?,6.3,48123
Nocturnal Animals,7.5,126030
X-Men: Apocalypse,7.1,275510
Deadpool,8,627797
Resident Evil: The Final Chapter,5.6,46165
Captain America: Civil War,7.9,411656
Interstellar,8.6,1047747
Doctor Strange,7.6,293732
The Magnificent Seven,6.9,122853
5- 25- 77,7.1,241
Sausage Party,6.3,120690
Moonlight,7.5,135095
Don't Fuck in the Woods,2.7,496
The Founder,7.2,37033
Lowriders,6.3,279
Pirates of the Caribbean: On Stranger Tides,6.7,395025
Miss Sloane,7.3,17818
Fallen,5.6,5103
Star Trek Beyond,7.1,164567
The Last Face,3.7,987
Star Wars: Episode VII - The Force Awakens,8.1,661608
Underworld: Blood Wars,5.8,41362
Mother's Day,5.6,20221
John Wick,7.2,321933
The Dark Knight,9,1791916
Silence,7.3,49190
Don't Breathe,7.2,121103
Me Before You,7.4,113322
Their Finest,7,3739
Sully,7.5,137608
Batman v Superman: Dawn of Justice,6.7,472307
The Autopsy of Jane Doe,6.8,35870
The Girl on the Train,6.5,102177
Fifty Shades of Grey,4.1,244474
The Prestige,8.5,913152
Kingsman: The Secret Service,7.7,440209
Patriots Day,7.4,39784
Mad Max: Fury Road,8.1,632842
Wakefield,7.5,291
Deepwater Horizon,7.2,89849
The Promise,5.9,149791
Allied,7.1,78079
A Monster Calls,7.5,39134
Collateral Beauty,6.8,43977
Zootopia,8.1,296853
Pirates of the Caribbean: At World's End,7.1,498821
The Avengers,8.1,1045588
Inglourious Basterds,8.3,959065
Pirates of the Caribbean: Dead Man's Chest,7.3,552027
Ghostbusters,5.3,147717
Inception,8.8,1583625
Captain Fantastic,7.9,105081
The Wolf of Wall Street,8.2,865134
Gone Girl,8.1,636243
Furious Seven,7.2,301249
Jurassic World,7,455169
Live by Night,6.4,27869
Avatar,7.8,935408
The Hateful Eight,7.8,341170
The Accountant,7.4,162122
Prisoners,8.1,431185
Warcraft,7,187547
The Help,8.1,342429
War Dogs,7.1,106463
Avengers: Age of Ultron,7.4,516895
The Nice Guys,7.4,175067
Kimi no na wa,8.6,34110
The Void,5.8,9247
Personal Shopper,6.3,10181
The Departed,8.5,937414
Legend,7,108836
Thor,7,570814
The Martian,8,556097
Contratiempo,7.9,7204
The Man from U.N.C.L.E.,7.3,202973
Hell or High Water,7.7,115546
The Comedian,5.4,1954
The Legend of Tarzan,6.3,117590
All We Had,5.8,1004
Ex Machina,7.7,339797
The Belko Experiment,6.3,3712
12 Years a Slave,8.1,486338
The Bad Batch,6.1,512
300,7.7,637104
Harry Potter and the Deathly Hallows: Part 2,8.1,590595
Office Christmas Party,5.8,30761
The Neon Demon,6.2,50359
Dangal,8.8,48969
10 Cloverfield Lane,7.2,192968
Finding Dory,7.4,157026
Miss Peregrine's Home for Peculiar Children,6.7,101058
Divergent,6.7,362093
Mike and Dave Need Wedding Dates,6,53183
Boyka: Undisputed IV,7.4,10428
The Dark Knight Rises,8.5,1222645
The Jungle Book,7.5,198243
Transformers: Age of Extinction,5.7,255483
Nerve,6.6,69651
Mamma Mia!,6.4,153481
The Revenant,8,499424
