Title,Rating,Votes
Fences,7.3,50953
Into the Woods,6,109756
The Shallows,6.4,78328
Whiplash,8.5,477276
Furious 6,7.1,318051
The Place Beyond the Pines,7.3,200090
No Country for Old Men,8.1,660286
The Great Gatsby,7.3,386102
Shutter Island,8.1,855604
Brimstone,7.1,13004
Star Trek,8,526324
Diary of a Wimpy Kid,6.2,34184
The Big Short,7.8,246360
Room,8.2,224132
Django Unchained,8.4,1039115
Ah-ga-ssi,8.1,33418
The Edge of Seventeen,7.4,47694
Watchmen,7.6,410249
Superbad,7.6,442082
Inferno,6.2,97623
The BFG,6.4,50853
The Hunger Games,7.2,735604
White Girl,5.8,4299
Sicario,7.6,243230
Twin Peaks: The Missing Pieces,8.1,1973
Aliens vs Predator - Requiem,4.7,97618
Pacific Rim,7,400519
"Crazy, Stupid, Love.",7.4,396714
Scott Pilgrim vs. the World,7.5,291457
Hot Fuzz,7.9,373244
Mine,6,5926
Free Fire,7,6946
X-Men: Days of Future Past,8,552298
Jack Reacher: Never Go Back,6.1,78043
Casino Royale,8,495106
Twilight,5.2,361449
Now You See Me 2,6.5,156567
Woman in Gold,7.3,39723
13 Hours,7.3,76935
Spectre,6.8,308981
Nightcrawler,7.9,332476
Kubo and the Two Strings,7.9,72778
Beyond the Gates,5.2,2127
Her,8,390531
Frozen,7.5,451894
Tomorrowland,6.5,143069
Dawn of the Planet of the Apes,7.6,337777
Tropic Thunder,7,321442
The Conjuring 2,7.4,137203
Ant-Man,7.3,368912
Bridget Jones's Baby,6.7,43086
The VVitch: A New-England Folktale,6.8,101781
Cinderella,7,117018
Realive,5.9,1176
Forushande,8,22389
Love,6,24003
Billy Lynn's Long Halftime Walk,6.3,11944
Crimson Peak,6.6,97454
Drive,7.8,461509
Trainwreck,6.3,106364
The Light Between Oceans,7.2,27382
Below Her Mouth,5.6,1445
Spotlight,8.1,268282
Morgan,5.8,22107
Warrior,8.2,355722
Captain America: The First Avenger,6.9,547368
Hacker,6.3,3799
Into the Wild,8.1,459304
The Imitation Game,8.1,532353
Central Intelligence,6.3,97082
Edge of Tomorrow,7.9,471815
A Cure for Wellness,6.5,12193
Snowden,7.3,79855
Iron Man,7.9,737719
Allegiant,5.7,70504
X: First Class,7.8,550011
Raw (II),7.5,5435
Paterson,7.5,26089
Bridesmaids,6.8,227912
The Girl with All the Gifts,6.7,23713
San Andreas,6.1,161396
Spring Breakers,5.3,114290
Transformers,7.1,531112
Old Boy,5.8,54679
Thor: The Dark World,7,443584
Gods of Egypt,5.5,73568
Captain America: The Winter Soldier,7.8,542362
Monster Trucks,5.7,7044
A Dark Song,6.1,1703
Kick-Ass,7.7,456749
Hardcore Henry,6.7,61098
Cars,7.1,283445
It Follows,6.9,136399
The Girl with the Dragon Tattoo,7.8,348551
We're the Millers,7,334867
American Honey,7,19660
The Lobster,7.1,121313
Predators,6.4,179450
Maleficent,7,268877
Rupture,4.8,2382
Pan's Labyrinth,8.2,498879
A Kind of Murder,5.2,3305
Apocalypto,7.8,247926
Mission: Impossible - Rogue Nation,7.4,257472
The Huntsman: Winter's War,6.1,66766
The Perks of Being a Wallflower,8,377336
Jackie,6.8,41446
The Disappointments Room,3.9,4895
The Grand Budapest Hotel,8.1,530881
The Host,5.9,96852
Fury,7.6,332234
Inside Out,8.2,416689
Rock Dog,5.8,1109
Terminator Genisys,6.5,205365
Percy Jackson & the Olympians: The Lightning Thief,5.9,148949
Les MisĂ©rables,7.6,257426
Children of Men,7.9,382910
20th Century Women,7.4,14708
Spy,7.1,188017
The Intouchables,8.6,557965
Bonjour Anne,4.9,178
Kynodontas,7.3,50946
Straight Outta Compton,7.9,139831
The Amazing Spider-Man 2,6.7,342183
The Conjuring,7.5,330305
The Hangover,7.8,611563
Battleship,5.8,210349
Rise of the Planet of the Apes,7.6,422290
Lights Out,6.4,69823
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,7.1,664
Birdman or (The Unexpected Virtue of Ignorance),7.8,440299
Black Swan,8,581518
Dear White People,6.2,21715
Nymphomaniac: Vol. I,7,90556
Teenage Mutant Ninja Turtles: Out of the Shadows,6,59312
Knock Knock,4.9,53441
Dirty Grandpa,6,75137
Cloud Atlas,7.5,298651
X-Men Origins: Wolverine,6.7,388447
Satanic,3.7,2384
Skyfall,7.8,547386
The Hobbit: An Unexpected Journey,7.9,668651
21 Jump Street,7.2,432046
Sing Street,8,52144
Ballerina,6.8,4729
Oblivion,7,410125
22 Jump Street,7.1,280110
Zodiac,7.7,329683
Everybody Wants Some!!,7,36312
Iron Man Three,7.2,591023
Now You See Me,7.3,492324
Sherlock Holmes,7.6,501769
Death Proof,7.1,220236
The Danish Girl,7,110773
Hercules,6,122838
Sucker Punch,6.1,204874
Keeping Up with the Joneses,5.8,30405
Jupiter Ascending,5.3,150121
Masterminds,5.8,26508
Iris,6.1,726
Busanhaeng,7.5,58782
Pitch Perfect,7.2,226631
Neighbors 2: Sorority Rising,5.7,76327
The Exception,7.7,96
Man of Steel,7.1,577010
The Choice,6.6,20514
Ice Age: Collision Course,5.7,34523
The Devil Wears Prada,6.8,302268
The Infiltrator,7.1,43929
There Will Be Blood,8.1,400682
The Equalizer,7.2,249425
Lone Survivor,7.5,218996
The Cabin in the Woods,7,295554
The House Bunny,5.5,67033
She's Out of My League,6.4,105619
Inherent Vice,6.7,69509
Alice Through the Looking Glass,6.2,57207
Vincent N Roxxy,5.5,403
The Fast and the Furious: Tokyo Drift,6,193479
How to Be Single,6.1,59886
The Blind Side,7.7,237221
La vie d'AdĂ¨le,7.8,103150
The Babadook,6.8,132580
The Hobbit: The Battle of the Five Armies,7.4,385598
Harry Potter and the Order of the Phoenix,7.5,385325
Snowpiercer,7,199048
The 5th Wave,5.2,73093
The Stakelander,5.3,1263
The Visit,6.2,81429
Fast Five,7.3,300803
Step Up,6.5,95960
Lovesong,6.4,616
RocknRolla,7.3,203096
In Time,6.7,319025
The Social Network,7.7,510100
The Last Witch Hunter,6,71149
Victor Frankenstein,6,37975
A Street Cat Named Bob,7.4,12643
Green Room,7,62885
Blackhat,5.4,43085
Storks,6.9,34248
American Sniper,7.3,353305
Dallas Buyers Club,8,352801
Lincoln,7.4,207497
Rush,8.1,339722
Before I Wake,6.1,18201
Silver Linings Playbook,7.8,564364
Tracktown,5.9,115
The Fault in Our Stars,7.8,271301
Blended,6.5,93764
Fast & Furious,6.6,217464
Looper,7.4,452369
White House Down,6.4,173320
Pete's Dragon,6.8,36322
Spider-Man 3,6.2,406219
The Three Musketeers,5.8,92329
Stardust,7.7,220664
American Hustle,7.3,379088
Jennifer's Body,5.1,96617
Midnight in Paris,7.7,320323
Lady Macbeth,7.3,1396
Joy,6.6,97679
The Dressmaker,7.1,33352
CafĂ© Society,6.7,45579
Insurgent,6.3,171970
Seventh Son,5.5,59958
Demain tout commence,7.4,5496
The Theory of Everything,7.7,299718
This Is the End,6.6,327838
About Time,7.8,221600
Step Brothers,6.9,223065
Clown,5.7,14248
Star Trek Into Darkness,7.8,417663
Zombieland,7.7,409403
"Hail, Caesar!",6.3,89059
Slumdog Millionaire,8,677044
The Twilight Saga: Breaking Dawn - Part 2,5.5,194329
American Wrestler: The Wizard,6.9,286
The Amazing Spider-Man,7,474320
Ben-Hur,5.7,28326
Sleight,6,702
The Maze Runner,6.8,335531
Criminal,6.3,38430
Wanted,6.7,312495
Florence Foster Jenkins,6.9,31776
Collide,5.7,7583
Black Mass,6.9,135706
Creed,7.6,175673
Swiss Army Man,7.1,61812
The Expendables 3,6.1,137568
What We Do in the Shadows,7.6,84016
Southpaw,7.4,169083
Hush,6.6,45867
Bridge of Spies,7.6,217938
The Lego Movie,7.8,266508
Everest,7.1,154647
Pixels,5.6,101092
Robin Hood,6.7,221117
The Wolverine,6.7,355362
John Carter,6.6,220667
Keanu,6.3,31913
The Gunman,5.8,31194
Steve Jobs,7.2,116112
Whisky Galore,5,102
Grown Ups 2,5.4,114482
The Age of Adaline,7.2,112288
The Incredible Hulk,6.8,342355
Couples Retreat,5.5,86417
Absolutely Anything,6,26587
Magic Mike,6.1,113686
Minions,6.4,159830
The Black Room,3.9,240
Bronson,7.1,93972
Despicable Me,7.7,410607
The Best of Me,6.7,49041
The Invitation,6.7,40529
Zero Dark Thirty,7.4,226661
Tangled,7.8,316459
The Hunger Games: Mockingjay - Part 2,6.6,202380
Vacation,6.1,74589
Taken,7.8,502961
Pitch Perfect 2,6.5,108306
Monsters University,7.3,252119
Elle,7.2,35417
Mechanic: Resurrection,5.6,48161
Tusk,5.4,34546
The Headhunter's Calling,6.9,164
Atonement,7.8,202890
Harry Potter and the Deathly Hallows: Part 1,7.7,357213
Shame,7.2,155010
Hanna,6.8,164208
The Babysitters,5.7,8914
Pride and Prejudice and Zombies,5.8,35003
300: Rise of an Empire,6.2,237887
London Has Fallen,5.9,100702
The Curious Case of Benjamin Button,7.8,485075
Sin City: A Dame to Kill For,6.5,122185
The Bourne Ultimatum,8.1,525700
Srpski film,5.2,43648
The Purge: Election Year,6,54216
3 Idiots,8.4,238789
Zoolander 2,4.7,48297
World War Z,7,494819
Mission: Impossible - Ghost Protocol,7.4,382459
Let Me Make You a Martyr,6.4,223
Filth,7.1,81301
The Longest Ride,7.1,58421
The imposible,7.6,156189
Kick-Ass 2,6.6,214825
Folk Hero & Funny Guy,5.6,220
Oz the Great and Powerful,6.3,181521
Brooklyn,7.5,94977
Coraline,7.7,156620
Blue Valentine,7.4,151409
The Thinning,6,4531
Silent Hill,6.6,184152
Dredd,7.1,213764
Hunt for the Wilderpeople,7.9,52331
Big Hero 6,7.8,309186
Carrie,5.9,113272
Iron Man 2,7,556666
Demolition,7,58720
Pandorum,6.8,126656
Olympus Has Fallen,6.5,214994
I Am Number Four,6.1,202682
Jagten,8.3,192263
The Proposal,6.7,241709
Get Hard,6,95119
Just Go with It,6.4,182069
Revolutionary Road,7.3,159736
The Town,7.6,294553
The Boy,6,51235
Denial,6.6,8229
Predestination,7.5,187760
Goosebumps,6.3,57602
Sherlock Holmes: A Game of Shadows,7.5,357436
Salt,6.4,255813
Enemy,6.9,111558
District 9,8,556794
The Other Guys,6.7,199900
American Gangster,7.8,337835
Marie Antoinette,6.4,83941
2012,5.8,297984
Harry Potter and the Half-Blood Prince,7.5,351059
Argo,7.7,481274
Eddie the Eagle,7.4,56332
The Lives of Others,8.5,278103
Pet,5.7,8404
Paint It Black,8.3,61
Macbeth,6.7,41642
Forgetting Sarah Marshall,7.2,226619
The Giver,6.5,93799
Triple 9,6.3,48400
Perfetti sconosciuti,7.7,17584
Angry Birds,6.3,55781
Moonrise Kingdom,7.8,254446
Hairspray,6.7,102954
Safe Haven,6.7,84765
Focus,6.6,166489
Ratatouille,8,504039
Stake Land,6.5,36091
The Book of Eli,6.9,241359
Cloverfield,7,313803
Point Break,5.3,44553
Under the Skin,6.3,94707
I Am Legend,7.2,565721
Men in Black 3,6.8,278379
Super 8,7.1,298913
Law Abiding Citizen,7.4,228339
Up,8.3,722203
Maze Runner: The Scorch Trials,6.3,159364
Carol,7.2,77995
Imperium,6.5,27428
Youth,7.3,52636
Mr. Nobody,7.9,166872
City of Tiny Lights,5.7,291
Savages,6.5,107960
(500) Days of Summer,7.7,398972
Movie 43,4.3,83625
Gravity,7.8,622089
The Boy in the Striped Pyjamas,7.8,144614
Shooter,7.2,267820
The Happening,5,170897
Bone Tomahawk,7.1,47289
Magic Mike XXL,5.7,42506
Easy A,7.1,294950
Exodus: Gods and Kings,6,137299
Chappie,6.9,188769
The Hobbit: The Desolation of Smaug,7.9,513744
Half of a Yellow Sun,6.2,1356
Anthropoid,7.2,24100
The Counselor,5.3,84927
Viking,4.7,1830
Whiskey Tango Foxtrot,6.6,36156
Trust,7,36043
Birth of the Dragon,3.9,552
Elysium,6.6,358932
The Green Inferno,5.4,26461
Godzilla,6.4,318058
The Bourne Legacy,6.7,245374
A Good Year,6.9,74674
Friend Request,5.4,12758
Deja Vu,7,253858
Lucy,6.4,352698
A Quiet Passion,7.2,1024
Need for Speed,6.5,143389
Jack Reacher,7,250811
The Do-Over,5.7,24761
True Crimes,7.3,198
American Pastoral,6.1,7115
The Ghost Writer,7.2,137964
Limitless,7.4,444417
Spectral,6.3,27042
P.S. I Love You,7.1,177247
Zipper,5.7,4912
Midnight Special,6.7,54787
Don't Think Twice,6.8,10485
Alice in Wonderland,6.5,324898
Chuck,6.8,391
"I, Daniel Blake",7.9,22941
The Break-Up,5.8,106381
Loving,7.1,17141
Fantastic Four,4.3,121847
The Survivalist,6.3,9187
Colonia,7.1,30074
The Boy Next Door,4.6,30180
The Gift,7.1,96688
Dracula Untold,6.3,148504
In the Heart of the Sea,6.9,90372
Idiocracy,6.6,115355
The Expendables,6.5,283282
Evil Dead,6.5,133113
Sinister,6.8,171169
Wreck-It Ralph,7.8,290559
Snow White and the Huntsman,6.1,239772
Pan,5.8,47804
Transformers: Dark of the Moon,6.3,338369
Juno,7.5,432461
A Hologram for the King,6.1,26521
Money Monster,6.5,68654
The Other Woman,6,110825
Enchanted,7.1,150353
The Intern,7.1,159582
Little Miss Sunshine,7.8,374044
Bleed for This,6.8,11900
Clash of the Titans,5.8,238206
The Finest Hours,6.8,44425
Tron,6.8,273959
The Hunger Games: Catching Fire,7.6,525646
All Good Things,6.3,44158
Kickboxer: Vengeance,4.9,6809
The Last Airbender,4.2,125129
Sex Tape,5.1,89885
What to Expect When You're Expecting,5.7,60059
Moneyball,7.6,297395
Ghost Rider,5.2,190673
Unbroken,7.2,114006
Immortals,6,142900
Sunshine,7.3,199860
Brave,7.2,293941
MĂ¤n som hatar kvinnor,7.8,182074
Adoration,6.2,25208
The Drop,7.1,116118
She's the Man,6.4,122864
Daddy's Home,6.1,68306
Let Me In,7.2,97141
Never Back Down,6.6,84083
Grimsby,6.2,63408
Moon,7.9,277123
Megamind,7.3,183926
Gangster Squad,6.7,181432
Blood Father,6.4,40357
He's Just Not That Into You,6.4,137684
Kung Fu Panda 3,7.2,89791
The Rise of the Krays,5.1,1630
Handsome Devil,7.4,338
Winter's Bone,7.2,116435
Horrible Bosses,6.9,368556
Mommy,8.1,33560
Hellboy II: The Golden Army,7,216932
Beautiful Creatures,6.2,71822
Toni Erdmann,7.6,24387
The Lovely Bones,6.7,130702
The Assassination of Jesse James by the Coward Robert Ford,7.5,143564
Don Jon,6.6,199973
Bastille Day,6.3,21089
2307: Winter's Dream,4,277
Free State of Jones,6.9,29895
Mr. Right,6.3,30053
The Secret Life of Walter Mitty,7.3,249877
Dope,7.3,66400
Underworld Awakening,6.4,127157
Antichrist,6.6,94069
Friday the 13th,5.6,78631
Taken 3,6,144715
Total Recall,6.3,210965
X-Men: The Last Stand,6.7,406540
The Escort,6,7181
The Whole Truth,6.1,10700
Night at the Museum: Secret of the Tomb,6.2,74886
Love & Other Drugs,6.7,151519
The Interview,6.6,261536
The Host,7,73491
Megan Is Missing,4.9,6683
WALLÂ·E,8.4,776897
Knocked Up,7,309398
Source Code,7.5,404884
Lawless,7.3,195360
Unfriended,5.6,50402
American Reunion,6.7,178471
The Pursuit of Happyness,8,361105
Relatos salvajes,8.1,110100
The Ridiculous 6,4.8,31149
Frantz,7.5,4304
Viral,5.5,3564
Gran Torino,8.2,595779
Burnt,6.6,76469
Tall Men,3.2,173
Sleeping Beauty,5.3,27006
Vampire Academy,5.6,44111
Sweeney Todd: The Demon Barber of Fleet Street,7.4,296289
Solace,6.4,36300
Insidious,6.8,219916
Popstar: Never Stop Never Stopping,6.7,30875
The Levelling,6.4,482
Public Enemies,7,240323
Boyhood,7.9,286722
Teenage Mutant Ninja Turtles,5.9,178527
Eastern Promises,7.7,198006
The Daughter,6.7,2798
Pineapple Express,7,267872
The First Time,6.9,54027
Gone Baby Gone,7.7,206707
The Heat,6.6,140151
L'avenir,7.1,5796
Anna Karenina,6.6,75291
Regression,5.7,26320
Ted 2,6.3,136323
Pain & Gain,6.5,168875
Blood Diamond,8,422014
Devil's Knot,6.1,15514
Child 44,6.5,47703
The Hurt Locker,7.6,352023
Green Lantern,5.6,231907
War on Everyone,5.9,9285
The Mist,7.2,233346
Escape Plan,6.7,188004
"Love, Rosie",7.2,80415
The DUFF,6.5,57874
The Age of Shadows,7.2,2403
The Hunger Games: Mockingjay - Part 1,6.7,331902
We Need to Talk About Kevin,7.5,104953
Love & Friendship,6.5,16164
The Mortal Instruments: City of Bones,5.9,112313
Seven Pounds,7.7,245144
The King's Speech,8,534388
Hunger,7.6,54486
Jumper,6.1,252503
Toy Story 3,8.3,586669
Tinker Tailor Soldier Spy,7.1,157053
Resident Evil: Retribution,5.4,114144
Dear Zindagi,7.8,23540
Genius,6.5,10708
Pompeii,5.5,90188
Life of Pi,7.9,471109
Hachi: A Dog's Tale,8.1,177602
10 Years,6.1,19636
I Origins,7.3,86271
Live Free or Die Hard,7.2,347567
The Matchbreaker,5.5,1427
Funny Games,6.5,73835
Ted,7,494641
RED,7.1,250012
Australia,6.6,106115
Faster,6.5,83788
The Neighbor,5.8,4754
The Adjustment Bureau,7.1,208632
The Hollars,6.5,5908
The Judge,7.4,146812
Closed Circuit,6.2,18437
Transformers: Revenge of the Fallen,6,335757
La tortue rouge,7.6,11482
The Book of Life,7.3,50388
Incendies,8.2,92863
The Heartbreak Kid,5.8,74664
Happy Feet,6.5,141141
Entourage,6.6,64557
The Strangers,6.2,96718
Noah,5.8,209700
Neighbors,6.4,236500
Nymphomaniac: Vol. II,6.7,65824
Wild,7.1,95553
Grown Ups,6,190385
Blair Witch,5.1,26088
The Karate Kid,6.2,127983
Dark Shadows,6.2,209326
Friends with Benefits,6.6,286543
The Illusionist,7.6,309934
The A-Team,6.8,219116
The Guest,6.7,71069
The Internship,6.3,166342
Paul,7,201707
This Beautiful Fantastic,6.9,688
The Da Vinci Code,6.6,338280
Mr. Church,7.7,16163
Hugo,7.5,259182
The Blackcoat's Daughter,5.6,4155
Body of Lies,7.1,182305
Knight of Cups,5.7,17439
The Mummy: Tomb of the Dragon Emperor,5.2,124554
The Boss,5.4,29642
Hands of Stone,6.6,8998
El secreto de sus ojos,8.2,144524
True Grit,7.6,254904
We Are Your Friends,6.2,25903
A Million Ways to Die in the West,6.1,144779
Only for One Night,4.6,313
Rules Don't Apply,5.7,3731
Ouija: Origin of Evil,6.1,30035
Percy Jackson: Sea of Monsters,5.9,91684
Fracture,7.2,148943
Oculus,6.5,92875
In Bruges,7.9,322536
This Means War,6.3,154400
LĂ­da BaarovĂ¡,5,353
The Road,7.3,187302
Lavender,5.2,2083
Deuces,6.6,256
Conan the Barbarian,5.2,84893
The Fighter,7.8,290056
August Rush,7.5,91229
Chef,7.3,151970
Eye in the Sky,7.3,57826
Eagle Eye,6.6,156158
The Purge,5.7,154588
PK,8.2,103279
Ender's Game,6.7,194236
Indiana Jones and the Kingdom of the Crystal Skull,6.2,351361
Paper Towns,6.3,72515
High-Rise,5.7,25928
Quantum of Solace,6.6,347798
The Assignment,4.5,2043
How to Train Your Dragon,8.1,523893
Lady in the Water,5.6,82701
The Fountain,7.3,199193
Cars 2,6.2,110490
31,5.1,10871
Final Girl,4.7,9026
Chalk It Up,4.8,499
The Man Who Knew Infinity,7.2,29912
Unknown,6.9,218679
Self/less,6.5,67196
Mr. Brooks,7.3,128146
Tramps,6.5,1031
Before We Go,6.9,31370
Captain Phillips,7.8,346154
The Secret Scripture,6.8,378
Max Steel,4.6,11555
Hotel Transylvania 2,6.7,69157
Hancock,6.4,366138
Sisters,6,50241
The Family,6.3,92868
Zack and Miri Make a Porno,6.6,154936
Ma vie de Courgette,7.8,4370
Man on a Ledge,6.6,129252
No Strings Attached,6.2,178243
Rescue Dawn,7.3,87887
Despicable Me 2,7.4,304837
A Walk Among the Tombstones,6.5,93883
The World's End,7,199813
Yoga Hosers,4.3,7091
Seven Psychopaths,7.2,196652
Beowulf,6.2,146566
Jack Ryan: Shadow Recruit,6.2,103681
1408,6.8,221073
The Gambler,6,52537
Prince of Persia: The Sands of Time,6.6,233148
The Spectacular Now,7.1,115751
A United Kingdom,6.8,4771
USS Indianapolis: Men of Courage,5.2,4964
Turbo Kid,6.7,19309
Mama,6.2,142560
Orphan,7,153448
To Rome with Love,6.3,72050
Fantastic Mr. Fox,7.8,149779
Inside Man,7.6,285441
I.T.,5.4,8755
127 Hours,7.6,294010
Annabelle,5.4,91106
Wolves at the Door,4.6,564
Suite FranĂ§aise,6.9,13711
The Imaginarium of Doctor Parnassus,6.8,130153
G.I. Joe: The Rise of Cobra,5.8,180105
Christine,7,5855
Man Down,5.8,4779
Crawlspace,5.3,1427
Shut In,4.6,5715
The Warriors Gate,5.3,1391
Grindhouse,7.6,160350
Disaster Movie,1.9,77207
Rocky Balboa,7.2,171356
Diary of a Wimpy Kid: Dog Days,6.4,16917
Jane Eyre,7.4,67464
Fool's Gold,5.7,62719
The Dictator,6.4,225394
The Loft,6.3,38804
Bacalaureat,7.5,5531
You Don't Mess with the Zohan,5.5,163144
Exposed,4.2,8409
Maudie,7.8,346
Horrible Bosses 2,6.3,125190
A Bigger Splash,6.4,15232
Melancholia,7.1,137117
The Princess and the Frog,7.1,95480
Unstoppable,6.8,157499
Flight,7.3,276347
Home,6.7,77447
La migliore offerta,7.8,77986
Mean Dreams,6.3,1066
42,7.5,69659
21,6.8,198395
Begin Again,7.4,111875
Out of the Furnace,6.8,88829
Vicky Cristina Barcelona,7.1,208770
Kung Fu Panda,7.6,329788
Barbershop: The Next Cut,5.9,9993
Terminator Salvation,6.6,297093
Freedom Writers,7.5,55648
The Hills Have Eyes,6.4,136642
Changeling,7.8,206793
Remember Me,7.2,119376
Koe no katachi,8.4,2421
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.2,32310
Locke,7.1,100890
The 9th Life of Louis Drax,6.3,6175
Horns,6.5,61060
Indignation,6.9,7402
The Stanford Prison Experiment,6.9,20907
Diary of a Wimpy Kid: Rodrick Rules,6.6,20194
Mission: Impossible III,6.9,270429
En man som heter Ove,7.7,21569
Dragonball Evolution,2.7,59512
Red Dawn,5.4,64584
One Day,7,113599
Life as We Know It,6.6,101301
28 Weeks Later,7,221858
Warm Bodies,6.9,193579
Blue Jasmine,7.3,160592
G.I. Joe: Retaliation,5.8,152145
Wrath of the Titans,5.8,159230
Shin Gojira,6.9,8365
Saving Mr. Banks,7.5,125693
Transcendence,6.3,184564
Rio,6.9,173919
Equals,6.1,16361
Babel,7.5,253417
The Tree of Life,6.8,143517
The Lucky One,6.5,82874
Piranha 3D,5.5,75262
50/50,7.7,281625
The Intent,3.5,202
This Is 40,6.2,108156
Real Steel,7.1,264480
Sex and the City,5.5,102547
Rambo,7.1,187077
Planet Terror,7.1,174553
Concussion,7.1,61274
The Fall,7.9,93036
The Ugly Truth,6.5,172558
Bride Wars,5.5,83976
Sleeping with Other People,6.5,27730
Snakes on a Plane,5.6,118905
What If,6.8,55243
How to Train Your Dragon 2,7.9,237565
RoboCop,6.2,190833
In Dubious Battle,6.2,1455
"Hello, My Name Is Doris",6.7,12361
Ocean's Thirteen,6.9,269581
Slither,6.5,64351
Contagion,6.6,187004
Il racconto dei racconti - Tale of Tales,6.4,17565
I Am the Pretty Thing That Lives in the House,4.7,4204
Bridge to Terabithia,7.2,117297
Coherence,7.2,66265
Notorious,6.7,33007
Goksung,7.5,17962
The Expendables 2,6.6,257395
The Girl Next Door,6.7,19351
Perfume: The Story of a Murderer,7.5,199387
The Golden Compass,6.1,155078
Centurion,6.4,67801
Scouts Guide to the Zombie Apocalypse,6.3,31651
17 Again,6.4,152808
No Escape,6.8,57921
Superman Returns,6.1,246797
The Twilight Saga: Breaking Dawn - Part 1,4.9,190244
Precious,7.3,91623
The Sea of Trees,5.9,7475
Good Kids,6.1,3843
The Master,7.1,112902
Footloose,5.9,39380
If I Stay,6.8,92170
The Ticket,5.4,924
